FIPS,State,County,Median_HH_Inc_ACS,PerCapitaInc,Poverty_Rate_0_17_ACS,Poverty_Rate_ACS,Deep_Pov_All,Deep_Pov_Children,NumAll_inPOV_ACS,PCTPOV017,POV017,MedHHInc,POVALL,PCTPOVALL,Num_inPOV_0_17_ACS,Vets18OPct,GulfWar2VetsPct,GulfWar1VetsPct,VietnamEraVetsPct,KoreanWarVetsPct,WW2VetsPct,MaleVetsPct,FemaleVetsPct,WhiteNonHispVetsPct,BlackVetsPct,HispanicVetsPct,OtherRaceVetsPct,MedianVetsInc,MedianNonVetsInc,LessThanHSVetsPct,HighSchOnlyVetsPct,SomeCollegeVetsPct,CollegeDegreeVetsPct,LFPVetsRate,UEVetsRate,PctVetsPoor,PctNonVetsPoor,PctVetsDisabilty,PctNonVetsDisabilty,CivPopVets18to64Num,CivPop18ONum,Vets18ONum,NonVetsDisabilty,NonVetsPoor,VetsDisabilty,VetsPoor,CLFVets18to64Num
-1,US,United States,"Median household income (In 2021 dollars), 2017-21","Per capita Income in the past 12 months (In 2021 inflation adjusted dollars), 2017-21","Poverty rate for children age 0-17, 2017-21","Poverty rate, 2017-21","Deep poverty, 2017-21","Deep poverty for children, 2017-21","Number of people of all ages in poverty , 2017-21","Poverty rate for children age 0-17, 2021","Number of people age 0-17 in poverty, 2021","Median household income (In 2021 dollars), 2021","Number of people of all ages in poverty , 2021","Poverty rate, 2021","Number of people age 0-17 in poverty, 2017-21","Percent of the population that are veterans, 2017-21","Percent of veterans that served in the Gulf War period (09/01 or later), 2017-21","Percent of veterans that served in the Gulf War period (08/90-08/01), 2017-21","Percent of veterans that served in the Vietnam Era, 2017-21","Percent of veterans that served in the Korean War period, 2017-21","Percent of veterans that served in the World War II period, 2017-21","Percent of veterans that are male, 2017-21","Percent of veterans that are female, 2017-21","Percent of veterans that are White not Hispanic alone, 2017-21","Percent of veterans that are Black or African American alone, 2017-21","Percent of veterans that are Hispanic or Latino, 2017-21","Percent of veterans that are of another race or two or more races, 2017-21","Median income (In 2021 dollars) of veterans with income in the past 12 months, 2017-21","Median income (In 2021 dollars) of nonveterans with income in the past 12 months, 2017-21","Percent of veterans 25 years and over with less than high school diploma, 2017-21","Percent of veterans 25 and over with a high school diploma or GED only, 2017-21","Percent of veterans 25 and over with some college or Associate's degree, 2017-21","Percent of veterans 25 and over with a Bachelor's degree or higher, 2017-21","Labor force participation rate for veterans age 18 to 64, 2017-21","Unemployment rate for veterans age 18 to 64, 2017-21","Percent of veterans age 18 to 64 with income in the past 12 months at or below poverty level, 2017-21","Percent of nonveterans age 18 to 64 with income in the past 12 months at or below poverty level, 2017-21","Percent of veterans age 18 to 64 with a disability, 2017-21","Percent of nonveterans age 18 to 64 with a disability, 2017-21","Civilian population age 18 to 64 that are veterans, 2017-21","Civilian population 18 years and over, 2017-21","Civilian population 18 years and over that are veterans, 2017-21","Number of nonveterans age 18 to 64 with a disability, 2017-21","Number of nonveterans age 18 to 64 with income in the past 12 months at or below poverty level, 2017-21","Number of veterans age 18 to 64 with a disability, 2017-21","Number of veterans age 18 to 64 with income in the past 12 months at or below poverty level, 2017-21","Number of veterans age 18 to 64 in the civilian labor force, 2017-21"
00000,US,United States,69021,37638,17.04670519,12.63185031,5.777384811,7.691714615,40661636,16.9,12243219,69717,41393176,12.8,12443424,6.854719591,22.05090386,22.42295321,34.90513324,6.59306913,2.201437759,90.60732166,9.392678339,75.26371829,12.2175123,7.665560036,8.470910644,46169,34216,5.246737795,27.49200626,37.29118551,29.97007044,76.95733397,4.350882376,7.804893975,12.03489836,18.68309448,9.997473138,8848937,254296179,17431290,18754893,22577028,1630866,681297,6809906
01000,AL,Alabama,54943,30458,22.26193645,15.78512663,7.077315889,10.39058157,769819,22.7,250327,53990,800848,16.3,245896,8.416338597,24.01114378,26.72782404,34.55217104,5.449675999,1.304314365,89.42880451,10.57119549,70.46806939,24.04038849,2.300789607,4.085333005,44071,27851,5.60219809,27.82542524,37.26586037,29.3065163,71.76397317,4.004872728,8.874119275,15.27165645,22.04866639,13.78543333,175014,3859695,324845,380406,421418,38084,15328,125597
01001,AL,Autauga,62660,30968,18.67386389,13.57847378,6.2502163,8.592895178,7847,16.1,2199,66444,6296,10.7,2560,11.39941624,37.78225806,40.98790323,31.37096774,5.544354839,3.125,87.25806452,12.74193548,82.9233871,11.75403226,3.427419355,2.318548387,53955,27579,2.923013586,22.25195554,31.10333471,43.72169617,76.35087719,1.102941177,8.071906944,14.08112295,21.39584068,14.25816446,2850,43511,4960,4510,4454,607,229,2176
01003,AL,Baldwin,64346,35384,11.29982166,9.204904993,4.043401319,5.503711999,20598,16.4,8207,65658,25526,10.8,5449,11.19863959,20.10257442,22.47083669,45.34392599,5.410297667,1.568785197,91.34151247,8.65848753,89.2347144,6.008648431,2.051488335,3.786202735,44472,31097,4.714906674,26.77576068,33.71004858,34.79928407,77.59657645,4.724996274,4.825486062,9.552707168,15.90536425,10.51071743,8646,177593,19888,12661,11507,1358,412,6709
01005,AL,Barbour,36422,21325,43.74401226,26.47191011,12.82696629,26.72925848,5890,35.1,1776,38649,5089,23,2283,7.226806702,15.43252595,27.26643599,39.72318339,6.712802768,1.937716263,92.94117647,7.058823529,56.88581315,39.51557093,0.415224914,3.598615917,29712,19738,10.31141869,38.33910035,32.66435986,18.68512111,44.57478006,3.618421053,3.202846975,24.61163826,29.89323843,14.24133009,682,19995,1445,1696,2931,168,18,304
01007,AL,Bibb,54277,24787,28.04290718,16.94285714,9.076190476,17.51313485,3558,29,1275,48454,4204,20.6,1281,6.421348315,32.28346457,27.64654418,32.98337708,6.386701662,3.84951881,95.01312336,4.98687664,76.46544182,10.49868766,13.03587052,1.224846894,45750,23080,7.69903762,47.76902887,23.18460192,21.34733158,36.8159204,0,7.167832168,16.79987083,35.83916084,21.26422863,603,17800,1143,2634,2081,205,41,222
01009,AL,Blount,52830,27309,17.28166827,13.23663049,5.291223017,6.344745988,7720,16.7,2236,56894,6992,12,2337,7.128778651,19.69555763,17.4899037,34.20316869,4.721963343,1.801801802,93.01025163,6.989748369,95.02951227,0.994097546,2.951227089,2.640571606,35582,28812,6.544502618,32.26439791,42.40837696,18.78272251,66.60194175,16.13216715,11.58576052,11.36847872,34.62783172,14.07743349,1545,45155,3219,4625,3735,535,179,1029
01011,AL,Bullock,29063,21012,49.74805314,30.9345983,10.1937828,18.27759963,3065,41.7,903,32027,2764,32.1,1086,4.057899295,42.98780488,42.37804878,19.51219512,1.524390244,0,98.7804878,1.219512195,19.81707317,80.18292683,0,0,46827,21470,2.743902439,57.31707317,22.25609756,17.68292683,40.15444015,0,15.35433071,26.69383597,45.27559055,11.93751061,259,8083,328,703,1572,115,39,104
01013,AL,Butler,45236,23897,29.60556845,18.17700053,6.66136725,11.18329466,3430,34.2,1441,39442,4226,22.7,1276,6.784581111,13.6318408,21.79104478,36.61691542,8.756218906,0.497512438,96.21890547,3.781094527,63.78109453,30.74626866,0,5.472636816,45081,21816,5.074626866,34.22885572,45.77114428,14.92537313,74.37070938,10.15384615,18.03278689,16.71377059,17.56440281,13.71211383,437,14813,1005,1407,1715,75,77,325
01015,AL,Calhoun,50977,26440,21.60229476,17.53843981,8.329655586,11.17081448,19870,25.2,6205,48166,21630,19.2,5347,9.816641292,17.89166105,25.33153518,45.50460778,3.405259609,0.618116431,90.36862216,9.631377838,76.68015284,19.7684873,2.348842437,1.888064734,42192,24664,4.712929476,27.90461121,41.71564195,25.66681736,68.88104171,4.517782762,8.55351545,18.65740813,26.62337662,18.53801078,4531,90642,8898,11800,11876,1189,382,3121
01017,AL,Chambers,47232,24840,25.33333333,15.0713246,5.091703057,7.958333333,5177,32.2,2258,45447,6699,19.7,1824,8.034677887,17.29119639,27.04288939,44.10835214,1.625282167,0.225733634,91.96388262,8.036117382,58.28442438,36.38826185,3.74717833,2.799097066,43284,23179,11.82994455,26.89463956,39.92606285,21.34935305,66.84118674,0.391644909,9.578207381,13.44702842,32.42530756,16.52196382,1146,27568,2215,3197,2602,369,109,766
